Name,About,Portfolio,Founders,Past Investors,Employees,Advisors,Profile Claimed,Portfolio Links,Founder Links,Investor Links,Employee Links,Advisor Links
"Granite Ventures","","Smule,HireVue,Anaplan,Localmind,Convio,Telltale Games,Symplified,WildTangent,YottaMark,Navini Networks,Trovix,Bunchball,Quantance,Airtight Networks,Arcot Systems,Hytrust,Lucid Imagination,SellPoint,Oversight Systems,Fulcrum Microsystems,Ozmo Devices,Skytide,Agilence,Mixamo","Chris Hollenbeck","mac hofeditz","Chris McKay,Standish O&#x27;Grady,Jay Zhao","Chris Hollenbeck",Yes,"https://angel.co/smule,https://angel.co/hirevue,https://angel.co/anaplan,https://angel.co/localmind,https://angel.co/convio,https://angel.co/telltale-games,https://angel.co/symplified,https://angel.co/wildtangent,https://angel.co/yottamark,https://angel.co/navini-networks,https://angel.co/trovix,https://angel.co/bunchball,https://angel.co/quantance,https://angel.co/airtight-networks,https://angel.co/arcot-systems,https://angel.co/hytrust,https://angel.co/lucid-imagination,https://angel.co/sellpoint,https://angel.co/oversight-systems,https://angel.co/fulcrum-microsystems,https://angel.co/ozmo-devices,https://angel.co/skytide,https://angel.co/agilence,https://angel.co/mixamo","https://angel.co/chris-hollenbeck","https://angel.co/mac-hofeditz","https://angel.co/cmckay13,https://angel.co/standish-o-grady,https://angel.co/jay-zhao","https://angel.co/chris-hollenbeck"
"Great Oaks Venture Capital","","Invite Media,Cardpool,CarWoo!,Fundly,Houzz,500friends,Lore,Stitcher,Hullabalu,Spreecast,EAT Club,Trulia,Breakthrough.com,Mortar Data,Modcloth,Kinnek,Movity,StyleTrek,Monogram,BabbaCo,IMRSV,DramaFever,Flatiron Health,Well.ca,Artsicle,","Ben Lin,Andrew K. Boszhardt, Jr.","","Ben Lin,Andrew K. Boszhardt, Jr.,Mike Falb,John Philosophos,Henry McNamara,Andrew J. Taub","Ben Lin,Andrew K. Boszhardt, Jr.",Yes,"https://angel.co/invite-media,https://angel.co/cardpool,https://angel.co/carwoo-1,https://angel.co/fundly,https://angel.co/houzz,https://angel.co/500friends,https://angel.co/lore-1,https://angel.co/stitcher,https://angel.co/hullabalu,https://angel.co/spreecast,https://angel.co/eat-club,https://angel.co/trulia,https://angel.co/breakthrough-com,https://angel.co/mortar-data,https://angel.co/modcloth,https://angel.co/kinnek,https://angel.co/movity,https://angel.co/styletrek,https://angel.co/monogram,https://angel.co/babbaco,https://angel.co/imrsv,https://angel.co/dramafever,https://angel.co/flatiron-health,https://angel.co/well-ca,https://angel.co/artsicle,","https://angel.co/ben-lin,https://angel.co/andrew-k-boszhardt-jr","","https://angel.co/ben-lin,https://angel.co/andrew-k-boszhardt-jr,https://angel.co/mikefalb,https://angel.co/john-philosophos,https://angel.co/henrylmcnamara,https://angel.co/andrew-j-taub","https://angel.co/ben-lin,https://angel.co/andrew-k-boszhardt-jr"
"Greycroft Partners","","Gamesalad,Venmo,9GAG,Steelhouse,Viddy,Klout,Nomi,Openbucks,uSamp,Moonfrye,Scopely,Livefyre,Buddy Media,Playdek,Pulse,Tynt,Sometrics,Koding,Media Armor,Buzzd,WideOrbit,Ad.ly,Daily Secret,Epoxy.tv,MoVoxx,","Ian Sigalow","Thomas Wisniewski","Kamran Ansari,Kirill Sheynkman,Ellie Wheeler,John Elton,Abe Geiger,Dylan Pearce,Dana Settle,Drew Lipsher,Massimo Pennisi,Elizabeth Conway","Ian Sigalow",Yes,"https://angel.co/gamesalad,https://angel.co/venmo,https://angel.co/9gag,https://angel.co/steelhouse,https://angel.co/viddy,https://angel.co/klout,https://angel.co/nomi,https://angel.co/openbucks,https://angel.co/usamp,https://angel.co/moonfrye,https://angel.co/scopely,https://angel.co/livefyre,https://angel.co/buddy-media,https://angel.co/playdek,https://angel.co/pulse,https://angel.co/tynt,https://angel.co/sometrics,https://angel.co/koding,https://angel.co/media-armor,https://angel.co/buzzd,https://angel.co/wideorbit,https://angel.co/ad-ly,https://angel.co/daily-secret,https://angel.co/epoxy-tv,https://angel.co/movoxx,","https://angel.co/ian-sigalow","https://angel.co/thomas-wisniewski","https://angel.co/kansari,https://angel.co/sheynkman,https://angel.co/ellie-wheeler,https://angel.co/johnelton,https://angel.co/abegeiger,https://angel.co/dylan-pearce,https://angel.co/dana-settle,https://angel.co/dlipsher,https://angel.co/massimo-pennisi,https://angel.co/elizabeth-conway","https://angel.co/ian-sigalow"
"Greylock Partners","","Viki,Tag,Dropbox,Facebook,Instagram,Game Closure,Matterport ,Impermium,Origami Labs (acquired by eFamily),Massive Health,Gigwalk,Digg,Ark,Edmodo,Freshplum,Cardspring,LinkedIn,Zuora,Treehouse,Swipely,famo.us,Tumblr,1000memories,Hangtime,Airbnb,","","Kevin Rose,Dave Morin,Brad Garlinghouse,Brandee Barker,David Gifford,Baer Tierkel","Josh Elman,Reid Hoffman,Simon Rothman,John Lilly,Jonathan Golden,David Sze,Brendan Baker,Sanjay Raman,Alison Rosenthal,Andy Johns,DJ Patil,Asheem Chandna,Joseph Ansanelli,Michael Callahan,Samuel Clemens,Paul Albright,Tilli Kalisky,Donald Fischer,Ben Weiss,Kevin Kwok,Evan Tana,Bill Kaiser,Surya Yalamanchili,Chris Beard,Joe Cheung,Tom Frangione,Jake Jarvis,Daniel Portillo,Casandra Espinoza,Melissa Sezto,Sarah Guo,Arvin Babu,Jerry Chen,Aki Taha","",Yes,"https://angel.co/viki,https://angel.co/tag,https://angel.co/dropbox,https://angel.co/facebook,https://angel.co/instagram,https://angel.co/game-closure,https://angel.co/matterport-2,https://angel.co/impermium,https://angel.co/origami-labs-acquired-by-efamily,https://angel.co/massive-health,https://angel.co/gigwalk,https://angel.co/digg,https://angel.co/ark,https://angel.co/edmodo,https://angel.co/freshplum,https://angel.co/cardspring,https://angel.co/linkedin,https://angel.co/zuora,https://angel.co/treehouse,https://angel.co/swipely,https://angel.co/famo-us,https://angel.co/tumblr,https://angel.co/1000memories,https://angel.co/hangtime-1,https://angel.co/airbnb,","","https://angel.co/kevin,https://angel.co/davemorin,https://angel.co/brad-garlinghouse,https://angel.co/brandee,https://angel.co/david-gifford,https://angel.co/baertierkel","https://angel.co/josh-elman,https://angel.co/reid-hoffman,https://angel.co/simonrothman,https://angel.co/johnolilly,https://angel.co/jgolden,https://angel.co/david-sze,https://angel.co/brendan,https://angel.co/sanjayraman,https://angel.co/alison-rosenthal,https://angel.co/andyjohns,https://angel.co/dj-patil,https://angel.co/chandna,https://angel.co/ansanelli,https://angel.co/michael-callahan,https://angel.co/samuel-clemens,https://angel.co/paul-albright,https://angel.co/tilli-kalisky,https://angel.co/dff,https://angel.co/ben-weiss,https://angel.co/kevinakwok,https://angel.co/evantana,https://angel.co/billkaiser77,https://angel.co/surya-yalamanchili,https://angel.co/cbeard,https://angel.co/joe-cheung,https://angel.co/tomfrange,https://angel.co/jakejarvis,https://angel.co/daniel-portillo,https://angel.co/casandra-espinoza,https://angel.co/melissa-sezto,https://angel.co/sarahguo,https://angel.co/arvin-babu,https://angel.co/jerry-chen,https://angel.co/aki-taha",""
"GSV Capital","","Chegg,Kno,Gilt Groupe,DailyBreak,Bloom Energy,Silver Spring Networks,TrueCar,The Echo System,Control4,AlwaysOn,DreamBox Learning","Luben Pampoulov","Etan Ilfeld","Luben Pampoulov,Dave Crowder,Li Jiang ,Mark Flynn","Luben Pampoulov",No,"https://angel.co/chegg,https://angel.co/kno,https://angel.co/gilt-groupe,https://angel.co/dailybreak,https://angel.co/bloom-energy,https://angel.co/silver-spring-networks,https://angel.co/truecar,https://angel.co/the-echo-system,https://angel.co/control4,https://angel.co/alwayson,https://angel.co/dreambox-learning","https://angel.co/luben-pampoulov","https://angel.co/etan-ilfeld","https://angel.co/luben-pampoulov,https://angel.co/dave-crowder-1,https://angel.co/li-jiang,https://angel.co/mark-flynn","https://angel.co/luben-pampoulov"
"HFPX","We support startups with Venture Capital, Private Equity and competencies to become a successfull business.","foome,Giver","HFPX","","Rafael Carlos Rosa","HFPX",Yes,"https://angel.co/foome,https://angel.co/giver-1","https://angel.co/hugo-fabianocordeiro","","https://angel.co/rafaelcarlos-rosa","https://angel.co/hugo-fabianocordeiro"
"High Line Venture Partners","","Listia,SocialFlow,Foodspotting (Part of OpenTable),Tubular Labs,YouAreTV,500px,Custora,Storybird,Repairogen","","","Rohit Gupta","",Yes,"https://angel.co/listia,https://angel.co/socialflow,https://angel.co/foodspotting-part-of-opentable,https://angel.co/tubular-labs,https://angel.co/youaretv,https://angel.co/500px,https://angel.co/custora,https://angel.co/storybird,https://angel.co/repairogen","","","https://angel.co/rohitgupta",""
"High Peaks Venture Partners","High Peaks is a NY based early stage venture capital firm.

We focus on:
 * Seed and Series A
 * B2B and Ecommerce
 * Companies based in the Northeast","MakeSpace,Divide,Bench,Kohort,Keychain Logistics,Flat World Knowledge,Amicus,Apprenda,PublicStuff,Fashion Project,RealDirect,SimpleReach ,Routehappy,VYou,Zipmark,Ticketfly,Savored,FieldLens,Reonomy,Clothes Horse,WhoSay,TxVia,Handshake,Pump Audio,Synaptic Digital,","","","Brad Svrluga,Mark Peter Davis,Benjamin Sun,Akshay Navle,Jeff Prober,Renee Park,Russ Howard","",Yes,"https://angel.co/makespace,https://angel.co/divide,https://angel.co/bench,https://angel.co/kohort,https://angel.co/keychain-logistics,https://angel.co/flat-world-knowledge,https://angel.co/amicus,https://angel.co/apprenda-1,https://angel.co/publicstuff,https://angel.co/fashion-project,https://angel.co/realdirect,https://angel.co/simplereach,https://angel.co/routehappy,https://angel.co/vyou,https://angel.co/zipmark,https://angel.co/ticketfly,https://angel.co/savored,https://angel.co/fieldlens-1,https://angel.co/reonomy,https://angel.co/clothes-horse,https://angel.co/whosay,https://angel.co/txvia,https://angel.co/handshake,https://angel.co/pump-audio,https://angel.co/synaptic-digital,","","","https://angel.co/brad-svrluga,https://angel.co/mpd,https://angel.co/bksun,https://angel.co/akshay-navle,https://angel.co/jeff-prober,https://angel.co/renee-park,https://angel.co/russ-howard",""
"High-Tech Gruenderfonds","","TORCH","","","Jan Sessenhausen","",No,"https://angel.co/torch","","","https://angel.co/jan-sessenhausen",""
"Highland Capital Partners","","Impermium,Yipit,Oyster,SmartThings,Game Closure,WePay,Digg,RethinkDB,Violin Memory,RentJuice,Iddiction,Rent the Runway,OpenSky,Leap Motion,Disconnect,DailyBreak,GoodRX,SCVNGR,Handybook,Nebula,LevelUp,Harry&#x27;s,Coremetrics,BetterLesson,Rapleaf,","","","Andrew Hunt,Bob Davis,Peter Bell,Alex Taussig,Craig Driscoll,Amy White,CJ Reim,Alison Howard","",Yes,"https://angel.co/impermium,https://angel.co/yipit,https://angel.co/oyster,https://angel.co/smartthings,https://angel.co/game-closure,https://angel.co/wepay,https://angel.co/digg,https://angel.co/rethinkdb,https://angel.co/violin-memory,https://angel.co/rentjuice,https://angel.co/iddiction,https://angel.co/rent-the-runway,https://angel.co/opensky,https://angel.co/leap-motion,https://angel.co/disconnect,https://angel.co/dailybreak,https://angel.co/goodrx,https://angel.co/scvngr,https://angel.co/handybook,https://angel.co/nebula,https://angel.co/levelup,https://angel.co/harry-s,https://angel.co/coremetrics,https://angel.co/betterlesson,https://angel.co/rapleaf,","","","https://angel.co/andrew-hunt-1,https://angel.co/bobdavishcp,https://angel.co/peter-bell,https://angel.co/ataussig,https://angel.co/cadriscoll,https://angel.co/tallamy,https://angel.co/cj_reim,https://angel.co/alihoward2",""
"Hummer Winblad","Hummer Winblad Venture Partners was founded in 1989 as the first venture capital fund to invest exclusively in software companies. Through our history, we’ve had the opportunity to invest in the pioneers and leaders of several generations of software applications, architectures, delivery methods and business models.

We’ve helped entrepreneurs build companies in desktop software, embedded systems, client-server, distributed network computing, internet, and software as a service. Our earliest portfolio companies started shipping software on floppy disks and today we’re investors in pioneering companies in cloud computing.","Kiip,Influitive,NuoDB","","John Sung Kim","Lars Leckie","",Yes,"https://angel.co/kiip,https://angel.co/influitive,https://angel.co/nuodb","","https://angel.co/johnsungkim","https://angel.co/larsleckie",""
"Hyde Park Venture Partners","","NoRedink,TempoDB,InContext Solutions,ParkWhiz,SimpleRelevance,FarmLogs,Food Genius,Protean Payment,LevelEleven,Sqrl,TapMe Games,irismobile","Ira Weiss,Guy Turner","Christopher Jensen","Ian Connell,Mihail Ivanov,Jessica van der Vooren","Ira Weiss,Guy Turner",Yes,"https://angel.co/noredink,https://angel.co/tempodb,https://angel.co/incontext-solutions,https://angel.co/parkwhiz,https://angel.co/simplerelevance,https://angel.co/farmlogs,https://angel.co/food-genius,https://angel.co/protean-payment-1,https://angel.co/leveleleven-1,https://angel.co/sqrl,https://angel.co/tapme-games,https://angel.co/irismobile","https://angel.co/ira-weiss,https://angel.co/guy-turner","https://angel.co/christopher-jensen","https://angel.co/ian-connell,https://angel.co/mvivanov,https://angel.co/jessica-van-der-vooren","https://angel.co/ira-weiss,https://angel.co/guy-turner"
"IA Ventures","","NewsCred,Yipit,MemSQL,Simple,Lore,Next Big Sound,BillGuard,ThinkNear,Sulia,Fluidinfo,Kohort,Solve Media,The Trade Desk,Recorded Future,Transcriptic,Techstars,Amicus,Signifyd,MyCityWay,Placeiq,Savingstar,Simple Finance Technology Corp,Lua ,Datadog,DataPop,","","Michael Lazerow,Michael Kim,Jason Finger,Jesse Beyroutey","Ben Siscovick,Roger Ehrenberg,Andrew Cove,Jesse Beyroutey","",Yes,"https://angel.co/newscred,https://angel.co/yipit,https://angel.co/memsql,https://angel.co/simple,https://angel.co/lore-1,https://angel.co/next-big-sound,https://angel.co/billguard,https://angel.co/thinknear,https://angel.co/sulia,https://angel.co/fluidinfo,https://angel.co/kohort,https://angel.co/solve-media,https://angel.co/the-trade-desk,https://angel.co/recorded-future,https://angel.co/transcriptic,https://angel.co/techstars,https://angel.co/amicus,https://angel.co/signifyd,https://angel.co/mycityway,https://angel.co/placeiq,https://angel.co/savingstar,https://angel.co/simple-finance-technology-corp,https://angel.co/lua-1,https://angel.co/datadog,https://angel.co/datapop,","","https://angel.co/lazerow,https://angel.co/michaelkim,https://angel.co/jasonfinger,https://angel.co/beyroutey","https://angel.co/bsiscovick,https://angel.co/infoarbitrage,https://angel.co/aac,https://angel.co/beyroutey",""
"Idealab","","MightyText,UberMedia,Factual,Triptrotting,Top10.com,Luxr.co,Perfect Market,NiftyThrifty,Shopping.com,Compete,GoPollGo,Picasa,Esolar,Tint,Crash City Guides,GameMix,Cooking.com,GO Interactive,Citysearch,Insider Pages,Answers.com,Tickets.com,Evolution Robotics,Mingly,X1 Technologies,","Bill Gross,Tom Hughes,Idealab,Marcia Goodstein","Howard L Morgan,William Edward Quigley,Sacha Levy,Rachid Sefrioui,Tony Morris","Scott And Cyan Banister,Reed Sturtevant,Lee Essner,Tom McGovern,Patrick Kann,Dan Engel,David D. Zito,Mike Astle,Ben Sweat,Rob Jonas,Robert Goldberg,Carl Jackson,Will Fleming,Michael Woods,Kenneth Yeh,Gladys Kong,alex maleki,Amy Kadomatsu,James Barabas,Richard Whitney,Patrick Kann,Rudy Roy,Glenn Laumeister,Quinn Goldstein,Sanzhar Kettebekov,Roger Jackson,Eric Wilson,William Drury,Tony Payne,Carrie Wiley,Marcus McConnell,Angela Gyetvan,Steven Damron,Josh Webb,Howard Spector,Benjamin Roberts,Jake Levine,Gus Higuera,Arthur Petron,Andres Casta\u00f1eda,Will Froelich,Stephan West,Vanessa Castaneda","Bill Gross,Tom Hughes,Idealab,Marcia Goodstein",Yes,"https://angel.co/mightytext,https://angel.co/ubermedia,https://angel.co/factual,https://angel.co/triptrotting,https://angel.co/top10-com,https://angel.co/luxr-co-1,https://angel.co/perfect-market,https://angel.co/niftythrifty,https://angel.co/shopping-com,https://angel.co/compete,https://angel.co/gopollgo,https://angel.co/picasa,https://angel.co/esolar,https://angel.co/tint,https://angel.co/crash-city-guides,https://angel.co/gamemix,https://angel.co/cooking-com,https://angel.co/go-interactive,https://angel.co/citysearch,https://angel.co/insider-pages,https://angel.co/answers-com,https://angel.co/tickets-com,https://angel.co/evolution-robotics,https://angel.co/mingly,https://angel.co/x1-technologies,","https://angel.co/bill_gross,https://angel.co/thoshughes,https://angel.co/idealab,https://angel.co/marcia-goodstein","https://angel.co/hlmorgan,https://angel.co/williamedwardquigley,https://angel.co/sachster,https://angel.co/rachid_sefrioui,https://angel.co/tony-morris","https://angel.co/cyantist,https://angel.co/reedsturtevant,https://angel.co/leeessner,https://angel.co/tom-mcgovern-1,https://angel.co/patrick-kann,https://angel.co/dan-engel,https://angel.co/zito1,https://angel.co/mike-astle,https://angel.co/bensweat,https://angel.co/rob-jonas,https://angel.co/robert-goldberg,https://angel.co/carl-jackson-1,https://angel.co/williamtfleming,https://angel.co/michael-woods-1,https://angel.co/blogged-1,https://angel.co/gladys-kong,https://angel.co/alexmaleki,https://angel.co/amyk,https://angel.co/james-d-barabas,https://angel.co/richardwhitney,https://angel.co/patrick-kann-1,https://angel.co/rudy-roy,https://angel.co/glenn-laumeister,https://angel.co/qgoldstein,https://angel.co/sanzhar,https://angel.co/roger-jackson,https://angel.co/ericwilson,https://angel.co/williamdrury,https://angel.co/payneinthe,https://angel.co/carrie-wiley,https://angel.co/marcus-mcconnell,https://angel.co/notgyet13,https://angel.co/steven-damron-1,https://angel.co/websterisk,https://angel.co/howard-spector,https://angel.co/benjamin-roberts,https://angel.co/drunkonvinyl,https://angel.co/gus-higuera,https://angel.co/arthur-petron,https://angel.co/talent_miner,https://angel.co/will-froelich,https://angel.co/swest,https://angel.co/vcastaneda","https://angel.co/bill_gross,https://angel.co/thoshughes,https://angel.co/idealab,https://angel.co/marcia-goodstein"
"IDInvest Partners","","Ifeelgoods,Appsfire,Grand Cru,Criteo,Dailymotion,Leetchi,Talend,Clear2Pay,eRepublik,Viadeo,Telisma,United Devices","","","Mathieu Le Roux,Pierre-Edouard BERION","",No,"https://angel.co/ifeelgoods,https://angel.co/appsfire,https://angel.co/grand-cru,https://angel.co/criteo,https://angel.co/dailymotion,https://angel.co/leetchi,https://angel.co/talend,https://angel.co/clear2pay,https://angel.co/erepublik,https://angel.co/viadeo,https://angel.co/telisma,https://angel.co/united-devices","","","https://angel.co/matleroux,https://angel.co/berion",""
"Ignition Partners","","Inporia,Hipmunk,Hangtime,Flotype,Parse,Cloudera,Chirply,WePay,Chef,MinoMonsters,Zencoder,Mattermark,Message Bus,AppFog,Heroku,Apprenda,Glympse,Iron,Topsy,Continuuity,Moz,Cloudmark,Xamarin,Prosodic,Keas,","","Ted Bremer","Chris Howard,Nick Sturiale,Michelle Jacobson Goldberg,Frank Artale,Dave Cotter,Eric Fleischman","",No,"https://angel.co/inporia,https://angel.co/hipmunk,https://angel.co/hangtime-1,https://angel.co/flotype-1,https://angel.co/parse,https://angel.co/cloudera,https://angel.co/chirply,https://angel.co/wepay,https://angel.co/chef-2,https://angel.co/minomonsters,https://angel.co/zencoder,https://angel.co/mattermark,https://angel.co/message-bus,https://angel.co/appfog,https://angel.co/heroku,https://angel.co/apprenda-1,https://angel.co/glympse,https://angel.co/iron,https://angel.co/topsy,https://angel.co/continuuity,https://angel.co/moz,https://angel.co/cloudmark,https://angel.co/xamarin,https://angel.co/prosodic,https://angel.co/keas,","","https://angel.co/tedbr","https://angel.co/chrishoward,https://angel.co/nick-sturiale,https://angel.co/michelle-jacobson-goldberg,https://angel.co/frank-artale,https://angel.co/dave-cotter,https://angel.co/ericfleischman",""
"Illuminate Ventures","","Influitive,opsmatic,yozio,Xactly,Digital Fuel,BrightEdge Technologies,Red Aril,Wild Pockets,Hoopla Software,CalmSea Inc.","Cindy Padnos","Scott And Cyan Banister","Sarah Cone,Rebecca Norlander","Cindy Padnos",Yes,"https://angel.co/influitive,https://angel.co/opsmatic,https://angel.co/yozio,https://angel.co/xactly,https://angel.co/digital-fuel,https://angel.co/brightedge-technologies,https://angel.co/red-aril,https://angel.co/wild-pockets,https://angel.co/hoopla-software,https://angel.co/calmsea-inc","https://angel.co/cindy-padnos","https://angel.co/cyantist","https://angel.co/sarah-cone,https://angel.co/rebecca-norlander","https://angel.co/cindy-padnos"
"Imperious Group","Imperious Group - независимый и надёжный партнёр, готовый к профессиональным инвестициям на венчурном рынке.

Нам интересны яркие стартапы и амбициозные команды, готовые реализовать потенциал лидерства на рынке, развивая как нишевые проекты, так и проекты, направленные  на глобальные рынки.

В поиске инвестиционных возможностей мы сфокусированы на том, чтобы среди множества возникающих стартапов не только разглядеть и правильно оценить проекты, имеющие наибольшую перспективу и наивысшую инвестиционную привлекательность, но и действительно помочь в построении прибыльного бизнеса.","Hashtago,Advice Wallet,Chooos ,PUBLICFAST,CROICE","","","Tanya Luchyno,Yuriy Romanyukha,Pavel Aleshin","",Yes,"https://angel.co/hashtago,https://angel.co/advice-wallet,https://angel.co/chooos,https://angel.co/publicfast,https://angel.co/croice","","","https://angel.co/tanya-luchyno,https://angel.co/yuriy-romanyukha,https://angel.co/pavelaleshin",""
"Index Ventures","","Dropbox,Kaggle,Path,Swipely,Codecademy,Zuora,The Climate Corporation,Songkick,UberMedia,Skype,Fon,Assistly,Chartbeat,Clipboard,TrialPay,EDITD,checkthis,Stack Exchange,Factual,TransferWise,Etsy,Experiment,Flipboard,TrulyWireless,SoundCloud,","","Seth Goldstein","Robin Klein,Terrence Rohan,Mike Volpi,Saul Klein,Aadil Mamujee,Alex Gezelius,Martin Mignot,Danny Rimer,Henrik Werdelin,Gil Dibner,Nina Faulhaber,Leonard Picardo,Gerald Rimer,Philipp Hartmann,Shardul Shah,Chris Barchak,Bernard Dalle,George Henry,Nicola Broom,Nate Mitchell,Imran Ghory,Dominic Jacquesson,Roman Fleck,Kate Ryder","",Yes,"https://angel.co/dropbox,https://angel.co/kaggle,https://angel.co/path,https://angel.co/swipely,https://angel.co/codecademy,https://angel.co/zuora,https://angel.co/the-climate-corporation,https://angel.co/songkick,https://angel.co/ubermedia,https://angel.co/skype,https://angel.co/fon,https://angel.co/assistly,https://angel.co/chartbeat,https://angel.co/clipboard,https://angel.co/trialpay,https://angel.co/editd,https://angel.co/checkthis,https://angel.co/stack-exchange,https://angel.co/factual,https://angel.co/transferwise,https://angel.co/etsy,https://angel.co/experiment,https://angel.co/flipboard,https://angel.co/trulywireless,https://angel.co/soundcloud,","","https://angel.co/seth","https://angel.co/robinklein,https://angel.co/tmrohan,https://angel.co/mavolpi,https://angel.co/cape,https://angel.co/amamujee,https://angel.co/gezelius,https://angel.co/martin-mignot,https://angel.co/dannyrimer,https://angel.co/werdelin,https://angel.co/gdibner,https://angel.co/ninafaulhaber,https://angel.co/leonard-picardo,https://angel.co/geraldrimer,https://angel.co/philipp-hartmann,https://angel.co/shardul-shah,https://angel.co/chris-barchak,https://angel.co/bernard-dalle,https://angel.co/georgehdf,https://angel.co/nicola-broom,https://angel.co/nate-mitchell-1,https://angel.co/imranghory,https://angel.co/dominic-jacquesson,https://angel.co/roman-fleck,https://angel.co/kentuckychang",""
"Innovacorp","","Equals6","","Dawn Umlah","Thomas Rankin,Dawn Umlah,Gregory Phipps,Rachel Aaron","",No,"https://angel.co/equals6","","https://angel.co/dawn-umlah","https://angel.co/thomas-rankin,https://angel.co/dawn-umlah,https://angel.co/gregory-phipps,https://angel.co/rmaaron",""
"iNovia Capital","","Tulip Retail,MileWise,Vidyard,AngelList,BufferBox,TripleLift,Well.ca,Tynt,AppDirect,Lenddo,Granify,E14N,Media Armor,Empire Avenue,Top Hat,Busbud,Vizu,33Across,ooomf,TiqIQ,Chango,Fixmo,Localmind,GrowLab,Beyond the Rack,","Chris Arsenault,Shawn Abbott","Karamdeep Nijjar,Chris Arsenault,Kevin Swan,Geoff Judge,David Nault,Ricardo Poupada,Patrick Lor,Austin Hill,Shawn Abbott,Dan Freedman","Karamdeep Nijjar,Chris Arsenault,Kevin Swan,Geoff Judge,David Nault,Shawn Abbott,Antoine Nivard,Kylie Toh","Chris Arsenault,Shawn Abbott",Yes,"https://angel.co/tulip-retail,https://angel.co/milewise,https://angel.co/vidyard,https://angel.co/angellist,https://angel.co/bufferbox,https://angel.co/triplelift-1,https://angel.co/well-ca,https://angel.co/tynt,https://angel.co/appdirect,https://angel.co/lenddo,https://angel.co/granify,https://angel.co/e14n,https://angel.co/media-armor,https://angel.co/empire-avenue,https://angel.co/top-hat,https://angel.co/busbud,https://angel.co/vizu,https://angel.co/33across,https://angel.co/ooomf,https://angel.co/tiqiq,https://angel.co/chango,https://angel.co/fixmo,https://angel.co/localmind,https://angel.co/growlab,https://angel.co/beyond-the-rack,","https://angel.co/chrisarsenault,https://angel.co/shawn-abbott","https://angel.co/karam_n,https://angel.co/chrisarsenault,https://angel.co/kswan,https://angel.co/gpjudge,https://angel.co/david-nault,https://angel.co/ricardo-poupada,https://angel.co/microstock,https://angel.co/austin-hill,https://angel.co/shawn-abbott,https://angel.co/dan-freedman","https://angel.co/karam_n,https://angel.co/chrisarsenault,https://angel.co/kswan,https://angel.co/gpjudge,https://angel.co/david-nault,https://angel.co/shawn-abbott,https://angel.co/antoinenivard,https://angel.co/kylie-toh","https://angel.co/chrisarsenault,https://angel.co/shawn-abbott"
"Insight Venture Partners","","Tumblr,Twitter,Chegg,Buddy Media,Reputation.com,Photobucket,ExactTarget,Solarwinds,Parallels,Acronis,Photobucket; Inc.,Karmaloop,DivX,Privalia,DriveCam,HauteLook,Anaqua,Groupalia,Jagex,GenArts,Mediamind,6waves,DataCore Software","","Jason Fiedler","Ramanan Raghavendran,Anton Bernstein,Jesse Beyroutey,Nikhil Basu Trivedi,Nnamdi Okike,Curtis Gion,Daniel Francis,Austen Bernstein,Akash Shah,David Fraga,Federico Nusymowicz,Kenny Chan,Evan Schoenbach,Parisa (Arash) Sahay,Connie Kim","",No,"https://angel.co/tumblr,https://angel.co/twitter,https://angel.co/chegg,https://angel.co/buddy-media,https://angel.co/reputation-com,https://angel.co/photobucket,https://angel.co/exacttarget,https://angel.co/solarwinds,https://angel.co/parallels,https://angel.co/acronis,https://angel.co/photobucket-inc-deleted,https://angel.co/karmaloop,https://angel.co/divx,https://angel.co/privalia,https://angel.co/drivecam,https://angel.co/hautelook,https://angel.co/anaqua,https://angel.co/groupalia,https://angel.co/jagex,https://angel.co/genarts,https://angel.co/mediamind,https://angel.co/6waves,https://angel.co/datacore-software","","https://angel.co/jason-fiedler","https://angel.co/ramanan-raghavendran,https://angel.co/anton-bernstein,https://angel.co/beyroutey,https://angel.co/nbt,https://angel.co/nokike,https://angel.co/curtis-gion,https://angel.co/danfrancis,https://angel.co/austen-bernstein,https://angel.co/akash-shah,https://angel.co/david-fraga,https://angel.co/federico-nusymowicz,https://angel.co/kenny-chan,https://angel.co/evanschoenbach,https://angel.co/parisa-arash,https://angel.co/connieskim",""
