Firm,Investment Stage,Minimum Investment,Maximum Investment,Location,Country,Fund Size,Link
"Walker Ventures","Early Stage","","","Glenwood, Maryland","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/1413/Walker-Ventures"
"Southeast Interactive Technology Funds","Startup/Seed/Early Stage","","","Morrisville, North Carolina","United States","","http://venture-capital-firms.findthebest.com/l/1383/Southeast-Interactive-Technology-Funds"
"Comcast Ventures - Philadelphia - Pennsylvania","Early Stage/Expansion/Later Stage/Startup/Seed","2000000.0","15000000.0","Philadelphia, Pennsylvania","United States","6000000.0","http://venture-capital-firms.findthebest.com/l/915/Comcast-Ventures-Philadelphia-Pennsylvania"
"JumpStart Ventures-Cleveland-Ohio","Early Stage/Startup/Seed","","","Cleveland, Ohio","United States","","http://venture-capital-firms.findthebest.com/l/639/JumpStart-Ventures-Cleveland-Ohio"
"Court Square Ventures","Early Stage","","","Charlottesville","","","http://venture-capital-firms.findthebest.com/l/877/Court-Square-Ventures"
"Clarus Ventures - Cambridge - Massachusetts","Early Stage","","20000000000.0","Cambridge, Massachusetts","United States","1200000000.0","http://venture-capital-firms.findthebest.com/l/556/Clarus-Ventures-Cambridge-Massachusetts"
"Hopewell Ventures-Chicago-Illinois","Early Stage/Startup/Seed","","","Chicago, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/541/Hopewell-Ventures-Chicago-Illinois"
"Clearstone Venture Partners - Mumbai - India","Early Stage","","5000000.0","Mumbai, Maharashtra","India","650000000.0","http://venture-capital-firms.findthebest.com/l/560/Clearstone-Venture-Partners-Mumbai-India"
"Cedar Ventures, LLC","Early Stage","2000000.0","200000000.0","Atlanta, Georgia","United States","300000000.0","http://venture-capital-firms.findthebest.com/l/475/Cedar-Ventures-LLC"
"DAG Ventures","Early Stage/Expansion/Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/818/DAG-Ventures"
"Zenshin Capital Management","Early Stage/Expansion","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/779/Zenshin-Capital-Management"
"Wisconsin Investment Partners","Startup/Seed/Early Stage","","","Madison, Wisconsin","United States","","http://venture-capital-firms.findthebest.com/l/1415/Wisconsin-Investment-Partners"
"Warburg Pincus-Sao Paulo-Brazil","Later Stage/Early Stage/Expansion/Startup/Seed","","2000000000.0","Sao Paulo","Brazil","30000000000.0","http://venture-capital-firms.findthebest.com/l/956/Warburg-Pincus-Sao-Paulo-Brazil"
"CTTV Investments LLC","Early Stage/Startup/Seed","","","San Ramon, California","United States","","http://venture-capital-firms.findthebest.com/l/298/CTTV-Investments-LLC"
"CNF Investments","Early Stage/Expansion/Later Stage","","","Bethesda, Maryland","United States","225000000.0","http://venture-capital-firms.findthebest.com/l/1230/CNF-Investments"
"OpenView Venture Partners","Expansion","5000000.0","15000000.0","Boston, Massachusetts","United States","440000000.0","http://venture-capital-firms.findthebest.com/l/857/OpenView-Venture-Partners"
"GGV Capital-Singapore","Expansion","5000000000.0","25000000000.0","Singapore","Singapore","1600000000.0","http://venture-capital-firms.findthebest.com/l/513/GGV-Capital-Singapore"
"Walden International-Singapore-Singapore","Early Stage/Expansion/Startup/Seed","","","Singapore","Singapore","","http://venture-capital-firms.findthebest.com/l/385/Walden-International-Singapore-Singapore"
"TA Associates, Inc-Menlo Park -California","Expansion","50000000000.0","5e+11","Menlo Park, California","United States","18000000000.0","http://venture-capital-firms.findthebest.com/l/232/TA-Associates-Inc-Menlo-Park-California"
"North Atlantic Capital","Expansion","4000000.0","8000000.0","Portland, Maine","United States","200000000.0","http://venture-capital-firms.findthebest.com/l/1348/North-Atlantic-Capital"
"Commonwealth Capital Ventures","Early Stage/Startup/Seed","1000000.0","15000000.0","Boston, Massachusetts","United States","580000000.0","http://venture-capital-firms.findthebest.com/l/563/Commonwealth-Capital-Ventures"
"True Ventures - San Francisco - California","Early Stage","1000000.0","2000000.0","Palo Alto, California","United States","600000000.0","http://venture-capital-firms.findthebest.com/l/613/True-Ventures-San-Francisco-California"
"Battery Ventures-Boston","Expansion/Early Stage/Startup/Seed","","7.5e+11","Waltham, Massachusetts","United States","4000000000.0","http://venture-capital-firms.findthebest.com/l/5/Battery-Ventures-Boston"
"General Atlantic-Beijing -China","","75000000000.0","4e+11","Beijing, Beijing","China","17000000000.0","http://venture-capital-firms.findthebest.com/l/507/General-Atlantic-Beijing-China"
"Dakota Venture Group","Early Stage","","","Grand Forks, North Dakota","United States","","http://venture-capital-firms.findthebest.com/l/614/Dakota-Venture-Group"
"Next World Capital","Growth/Expansion/Later Stage","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/1196/Next-World-Capital"
"Steamboat Ventures-Burbank-California","Early Stage/Expansion","2000000000.0","20000000000.0","Burbank, California","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/1173/Steamboat-Ventures-Burbank-California"
"Forward Ventures","Early Stage","1000000.0","15000000.0","San Diego, California","United States","500000000.0","http://venture-capital-firms.findthebest.com/l/192/Forward-Ventures"
"New Cycle Capital","Early Stage","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/1339/New-Cycle-Capital"
"Levensohn Venture Partners","Later Stage/Expansion/Early Stage/Startup/Seed","","5000000.0","San Francisco, California","United States","200000000.0","http://venture-capital-firms.findthebest.com/l/198/Levensohn-Venture-Partners"
"First Round Capital-San Francisco-California","Early Stage/Startup/Seed","","5000000000.0","San Francisco, California","United States","2500000000.0","http://venture-capital-firms.findthebest.com/l/521/First-Round-Capital-San-Francisco-California"
"Vanedge Capital","Early Stage/Expansion/Later Stage/Startup/Seed","","","Vancouver, British Columbia","Canada","","http://venture-capital-firms.findthebest.com/l/879/Vanedge-Capital"
"Meakem Becker Venture Capital","Later Stage/Early Stage","","","Sewickley, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/574/Meakem-Becker-Venture-Capital"
"Expansion Venture Capital","Early Stage/Expansion","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1266/Expansion-Venture-Capital"
"New Atlantic Ventures-Cambridge-Massachusetts","Early Stage/Startup/Seed","","3000000.0","Cambridge, Massachusetts","United States","275000000.0","http://venture-capital-firms.findthebest.com/l/650/New-Atlantic-Ventures-Cambridge-Massachusetts"
"D. E. Shaw Group, The-London-United Kingdom","Early Stage","","20000000000.0","London","United Kingdom","28000000000.0","http://venture-capital-firms.findthebest.com/l/446/D-E-Shaw-Group-The-London-United-Kingdom"
"BioStar Ventures","Early Stage/Startup/Seed","","","Petoskey, Michigan","United States","","http://venture-capital-firms.findthebest.com/l/1213/BioStar-Ventures"
"Compass Capital Fund","Early Stage","","","Bellevue, Washington","United States","","http://venture-capital-firms.findthebest.com/l/564/Compass-Capital-Fund"
"MK Capital","Startup/Seed/Early Stage/Expansion/Later Stage","","","Northbrook, Illinois","United States","250000000.0","http://venture-capital-firms.findthebest.com/l/1333/MK-Capital"
"Ridgewood Capital - Houston - Texas","Early Stage","","5000000000.0","Houston, Texas","United States","2700000000.0","http://venture-capital-firms.findthebest.com/l/110/Ridgewood-Capital-Houston-Texas"
"Trident Capital","Early Stage/Expansion","","30000000000.0","Palo Alto, California","United States","1900000000.0","http://venture-capital-firms.findthebest.com/l/73/Trident-Capital"
"Arbor Partners LLC","Early Stage","","4000000.0","Ann Arbor, Michigan","United States","38000000.0","http://venture-capital-firms.findthebest.com/l/1012/Arbor-Partners-LLC"
"Cargill Ventures-San Mateo-California","Early Stage","","","San Mateo, California","United States","","http://venture-capital-firms.findthebest.com/l/46/Cargill-Ventures-San-Mateo-California"
"Landmark Partners LLC - Simsbury","Expansion","","","Simsbury, Connecticut","United States","9100000000.0","http://venture-capital-firms.findthebest.com/l/1105/Landmark-Partners-LLC-Simsbury"
"Vestor Associates LLC-Beachwood-Ohio","Early Stage","","","Beachwood, Ohio","United States","","http://venture-capital-firms.findthebest.com/l/749/Vestor-Associates-LLC-Beachwood-Ohio"
"Dominion Ventures","Early Stage/Expansion","","","Stratford, New Jersey","United States","","http://venture-capital-firms.findthebest.com/l/1249/Dominion-Ventures"
"Oxford Bioscience Partners-Malibu-California","Early Stage","","20000000000.0","Malibu, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/234/Oxford-Bioscience-Partners-Malibu-California"
"iNovia Capital - Calgary - Canada","Early Stage/Startup/Seed","","10000000.0","Calgary, Alberta","Canada","275000000.0","http://venture-capital-firms.findthebest.com/l/621/iNovia-Capital-Calgary-Canada"
"Argentum Group","Expansion/Later Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/724/Argentum-Group"
"Birchmere Ventures","Early Stage/Startup/Seed","","","Pittsburgh, Pennsylvania","United States","200000000.0","http://venture-capital-firms.findthebest.com/l/1214/Birchmere-Ventures"
"Carlyle Group, The - Barcelona - Spain","Expansion/Early Stage","","","Barcelona","Spain","1.7e+11","http://venture-capital-firms.findthebest.com/l/905/Carlyle-Group-The-Barcelona-Spain"
"Morado Venture Management","Startup/Seed","","","Palo Alto, California","United States","10000000.0","http://venture-capital-firms.findthebest.com/l/1337/Morado-Venture-Management"
"Foundation Medical Partners","Early Stage/Expansion/Later Stage/Startup/Seed","","10000000.0","Rowayton, Connecticut","United States","200000000.0","http://venture-capital-firms.findthebest.com/l/524/Foundation-Medical-Partners"
"GGV Capital-Shanghai-China","Expansion","5000000000.0","25000000000.0","Shanghai","China","1600000000.0","http://venture-capital-firms.findthebest.com/l/511/GGV-Capital-Shanghai-China"
"Coronis Medical Ventures","Early Stage/Startup/Seed","","","Sunnyvale, California","United States","","http://venture-capital-firms.findthebest.com/l/566/Coronis-Medical-Ventures"
"Madrona Investment Group","Early Stage/Startup/Seed","2000000.0","","Seattle, Washington","United States","950000000.0","http://venture-capital-firms.findthebest.com/l/1126/Madrona-Investment-Group"
"DCM-Beijing-China","Early Stage/Later Stage/Startup/Seed","","20000000000.0","Beijing","China","2000000000.0","http://venture-capital-firms.findthebest.com/l/181/DCM-Beijing-China"
"The ICEHOUSE","Startup/Seed/Early Stage/Growth/Expansion","","","Auckland","New Zealand","50000000.0","http://venture-capital-firms.findthebest.com/l/1429/The-ICEHOUSE"
"Chicago1207 Ventures","Startup/Seed/Early Stage/Growth/Expansion","","","","United States","","http://venture-capital-firms.findthebest.com/l/1424/Chicago1207-Ventures"
"CampVentures","Early Stage/Startup/Seed","","","Los Altos, California","United States","","http://venture-capital-firms.findthebest.com/l/54/CampVentures"
"Kinetic Ventures - Atlanta","Early Stage/Startup/Seed/Expansion","","","Atlanta, Georgia","United States","","http://venture-capital-firms.findthebest.com/l/1132/Kinetic-Ventures-Atlanta"
"EnerTech Capital","Expansion","","","Conshohocken, Pennsylvania","United States","450000000.0","http://venture-capital-firms.findthebest.com/l/423/EnerTech-Capital"
"BLH Venture Partners","Early Stage","","","Atlanta, Georgia","United States","","http://venture-capital-firms.findthebest.com/l/1216/BLH-Venture-Partners"
"California Technology Ventures","Startup/Seed/Early Stage/Expansion/Later Stage","","","Pasadena, California","United States","","http://venture-capital-firms.findthebest.com/l/1222/California-Technology-Ventures"
"GSR Ventures-Palo Alto-California","Early Stage","","","Palo Alto, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/635/GSR-Ventures-Palo-Alto-California"
"Artiman Ventures - Silicon Valley","Expansion/Early Stage/Startup/Seed","","4000000.0","East Palo Alto, California","United States","385000000.0","http://venture-capital-firms.findthebest.com/l/1021/Artiman-Ventures-Silicon-Valley"
"Canaan Partners- India","Early Stage/Expansion/Later Stage/Startup/Seed","","","Gurgaon","India","3400000000.0","http://venture-capital-firms.findthebest.com/l/51/Canaan-Partners-India"
"Monumental Venture Partners LLC","Early Stage/Startup/Seed","","","McLean, Virginia","United States","","http://venture-capital-firms.findthebest.com/l/581/Monumental-Venture-Partners-LLC"
"Draper Fisher Jurvetson-Menlo Park-California","Early Stage/Startup/Seed","","25000000000.0","Menlo Park, California","United States","7000000000.0","http://venture-capital-firms.findthebest.com/l/438/Draper-Fisher-Jurvetson-Menlo-Park-California"
"PTV Sciences","Later Stage/Expansion/Early Stage","","","Austin, Texas","United States","","http://venture-capital-firms.findthebest.com/l/756/PTV-Sciences"
"Apax Partners, Inc. - Munchen - Germany","Later Stage/Expansion/Early Stage/Startup/Seed","","60000000.0","Munchen","Germany","109000000.0","http://venture-capital-firms.findthebest.com/l/142/Apax-Partners-Inc-Munchen-Germany"
"Western Technology Investment","Early Stage/Expansion/Later Stage/Startup/Seed","","30000000.0","Portola Valley, California","United States","375000000.0","http://venture-capital-firms.findthebest.com/l/333/Western-Technology-Investment"
"Hercules Technology Growth Capital, Inc - Boston - Massachusetts","Early Stage/Expansion/Startup/Seed","","","Palo Alto, Massachusetts","United States","3400000000.0","http://venture-capital-firms.findthebest.com/l/155/Hercules-Technology-Growth-Capital-Inc-Boston-Massachusetts"
"RRE Ventures-New York","Early Stage/Startup/Seed","","10000000.0","New York, New York","United States","850000000.0","http://venture-capital-firms.findthebest.com/l/706/RRE-Ventures-New-York"
"D. E. Shaw Group, The-Houston-Texas","Early Stage","","20000000000.0","Houston, Texas","United States","28000000000.0","http://venture-capital-firms.findthebest.com/l/411/D-E-Shaw-Group-The-Houston-Texas"
