name, funding_total_usd ,funding_rounds,founded_at,first_funding_at,last_funding_at
Happy Metrix,"157,450",1,6/1/12,6/15/12,6/15/12
Happy Studio,"1,950,000",1,,8/1/13,8/1/13
HappyBox,,1,10/23/12,5/22/13,5/22/13
Happyshop,"5,600,000",3,11/1/10,11/1/10,6/11/12
happyview,"5,492,100",2,5/19/09,1/1/09,2/21/11
Hapten Sciences,"475,000",1,1/1/10,1/2/14,1/2/14
HapYak,"850,000",1,,11/9/12,11/9/12
Hara,"45,000,000",3,1/1/08,5/15/09,5/17/11
Harbinger Medical,"550,000",1,1/1/93,4/26/10,4/26/10
Harbinger Tech Solutions,"100,000",1,,3/7/12,3/7/12
Harbor BioSciences,"2,825,000",1,,8/12/11,8/12/11
Harbor MedTech,"806,733",2,1/1/10,5/17/12,5/31/13
Harbor Payments,"40,000,000",1,1/1/00,9/1/05,9/1/05
Harbor Technologies,"705,000",1,,4/6/10,4/6/10
Harbor Wing Technologies,"186,200",2,1/1/03,4/9/10,8/24/11
Harbour Antibodies,"3,216,500",1,1/1/06,7/24/13,7/24/13
Harbour Networks Holdings,"37,000,000",1,1/1/00,3/3/05,3/3/05
Hard 8 Games,"1,500,000",1,,9/13/11,9/13/11
Hard Candy Cases,,1,1/1/09,1/6/10,1/6/10
Hardaway Net-Works,"1,129,724",1,,1/6/10,1/6/10
Hardide Coatings,"2,142,305",1,,4/15/04,4/15/04
HardMetrics,"2,000,000",1,1/1/03,12/5/06,12/5/06
Hari Seldon Corporation,"32,570",1,6/10/09,8/1/10,8/1/10
Harimata,"50,000",1,3/1/13,11/4/13,11/4/13
Hark,"5,000,000",1,10/22/07,11/1/07,11/1/07
Harmony Information Systems,"39,500,000",3,1/1/98,12/12/06,12/15/11
HarQen,"7,768,177",3,5/5/07,1/1/08,10/13/11
Harry and David,"100,000,000",1,1/1/34,10/3/13,10/3/13
Harry's,"122,500,000",2,10/1/11,8/15/12,1/22/14
Hart InterCivic,"1,200,000",2,,1/1/05,7/6/11
Harvard University,"90,000,000",1,,1/6/14,1/6/14
Harvest,,1,4/1/06,1/1/08,1/1/08
Harvest Automation,"30,593,000",6,1/1/09,1/8/10,10/29/13
Harvest Exchange,"2,000,000",1,1/1/12,2/1/13,2/1/13
Harvest Power,"204,514,000",10,1/1/08,12/24/09,8/20/12
Harvest Trends,"1,500,000",1,10/1/09,10/14/09,10/14/09
HASH,"100,000",1,6/26/13,9/14/13,9/14/13
Hashable,"4,000,000",1,1/1/10,11/22/10,11/22/10
HashCube,,1,1/1/08,5/1/12,5/1/12
Hashgo,,1,,3/1/12,3/1/12
Hashtago,"200,000",1,6/22/13,9/5/13,9/5/13
HashTip,"200,000",1,3/12/12,4/1/12,4/1/12
HasOffers,"9,400,000",1,4/1/09,5/21/13,5/21/13
Hassle.com,"413,698",2,3/1/12,4/2/12,4/16/13
Hatch,"650,000",1,8/1/12,6/5/13,6/5/13
Hatchbuck,"2,615,000",5,1/1/11,4/1/12,12/17/13
Hatchtech,"22,630,691",3,1/1/02,5/30/05,10/31/13
Hatsize,"5,000,000",1,9/1/00,11/30/10,11/30/10
Hatteras Networks,"36,000,000",2,1/1/00,6/8/05,6/1/06
HAUL,"1,040,000",2,1/15/13,9/1/13,12/17/13
HaulerDeals,"1,250,000",1,1/1/12,10/31/12,10/31/12
Haus Bioceuticals,"150,000",1,,2/14/12,2/14/12
Haute Secure,"2,100,000",2,1/1/06,1/1/07,3/9/09
HauteLook,"41,000,000",2,12/1/07,5/12/09,6/3/10
Have to Have,,1,6/1/10,6/25/12,6/25/12
HaveMyShift,"12,000",1,9/10/09,9/10/09,9/10/09
Haversack,"15,000",1,1/28/12,1/29/12,1/29/12
Havgul Clean Energy,"8,067,250",1,,11/28/10,11/28/10
Havkraft,,1,,12/28/10,12/28/10
Hawaii Biotech,"645,000",1,,1/6/10,1/6/10
Hawthorne Labs,"5,192,555",1,1/1/10,7/6/11,7/6/11
Hazelcast,"2,500,000",1,12/20/08,9/19/13,9/19/13
HazelMail,"25,000",1,1/1/12,8/1/12,8/1/12
HazelTree,"1,500,087",1,1/1/09,2/15/11,2/15/11
Haztucesta,"864,060",1,5/10/07,4/8/11,4/8/11
hc1.com,"3,064,000",1,1/1/01,4/12/13,4/12/13
hc1.com Inc.,"1,586,321",1,,1/9/13,1/9/13
HCBC,"250,000",1,9/1/89,8/21/13,8/21/13
HCHB Cressey,"28,550,000",1,1/1/11,3/9/11,3/9/11
HCI,,1,1/1/08,11/14/13,11/14/13
HCS Control Systems,"12,879,637",1,1/1/97,7/7/13,7/7/13
HD Biosciences,,1,,8/8/08,8/8/08
HD Trade Services,,2,11/1/11,8/1/12,1/1/14
HDB Newco,"660,000",1,1/1/10,12/30/10,12/30/10
Hdfeel,"1,000,100",1,,1/25/14,1/25/14
hdl therapeutics,"925,000",1,,2/13/13,2/13/13
HDmessaging,"3,000,000",1,1/1/11,11/13/13,11/13/13
HDS INTERNATIONAL,"27,500",1,11/1/08,7/23/13,7/23/13
hdtMEDIA,,1,1/1/99,9/15/06,9/15/06
Head Held High,"408,225",1,6/30/07,8/13/13,8/13/13
HeadCase Humanufacturing,"900,000",1,1/1/06,8/28/06,8/28/06
Headliner.fm,"750,000",2,8/1/09,9/15/09,12/20/10
HeadMix,"660,000",1,1/1/07,11/4/09,11/4/09
Headplay,"10,814,672",4,1/1/98,5/5/10,10/8/10
HeadSense Medical,,1,1/1/11,7/8/13,7/8/13
HeadSprout,"8,256,751",2,1/1/99,3/9/07,3/11/10
Headstrong,"75,000",1,1/1/81,2/19/10,2/19/10
Headwater Partners,"6,000,001",2,1/1/08,3/24/10,6/29/12
Healcerion,,1,2/27/12,8/7/13,8/7/13
Healint,"111,500",1,1/1/13,11/28/13,11/28/13
Healionics,"2,600,000",1,,12/11/08,12/11/08
Healios K.K,"29,167,989",1,2/24/11,10/8/13,10/8/13
Healogica,"890,000",2,10/30/07,3/20/08,4/17/09
HealOr,"7,500,000",1,,11/4/10,11/4/10
Health & Bliss,"2,000,000",1,1/1/13,9/18/13,9/18/13
Health 123,"1,016,506",1,1/1/11,6/27/13,6/27/13
Health Access Solutions,"7,003,853",1,1/1/00,12/19/13,12/19/13
Health Benefits Direct,"5,400,000",1,1/1/04,10/1/10,10/1/10
HEALTH CARE DATAWORKS,"4,999,541",1,1/1/08,5/14/13,5/14/13
Health Catalyst,"82,000,000",4,1/1/08,9/1/11,1/27/14
Health Data Vision,"2,797,691",1,,1/31/13,1/31/13
Health Elements,"4,000,000",1,1/1/11,12/12/12,12/12/12
Health Enhancement Products,"5,124,628",11,,6/1/11,12/24/13
Health Essentials,"1,006,102",2,1/1/96,10/25/12,8/2/13
Health eVillages,"58,000",1,1/1/11,8/27/13,8/27/13
Health Guru Media Inc.,"9,450,000",3,1/1/07,1/1/07,6/29/11
Health Hero Network(Bosch Healthcare),"16,000,000",1,1/1/88,11/17/06,11/17/06
Health Impact Solutions,,1,,8/6/09,8/6/09
Health in Reach,,1,,5/1/11,5/1/11
Health Informatics,"10,000,000",1,,5/25/12,5/25/12
Health Information Designs,,1,,5/21/12,5/21/12
Health Innovation Technologies,"1,410,015",2,1/1/06,2/14/07,11/22/11
Health Integrated,"4,193,628",3,1/1/96,7/17/12,12/19/13
Health Market Science,"8,100,000",2,1/1/99,2/17/10,8/23/10
Health News,"1,000,000",1,1/1/10,4/28/11,4/28/11
Health Options Worldwide,"597,000",3,12/1/08,11/15/10,10/12/11
Health Outcomes Sciences,"2,998,632",1,1/1/10,2/17/11,2/17/11
Health Plan One,"6,500,000",1,1/1/06,4/21/08,4/21/08
Health Recovery Solutions,"499,999",2,1/15/12,1/6/14,2/2/14
Health Revenue Assurance Holdings,"5,400,000",1,1/1/01,11/15/13,11/15/13
Health2Sync,"300,000",1,6/1/13,7/31/13,7/31/13
Health: Elt,"375,000",1,1/1/13,12/18/13,12/18/13
Healthation,"14,000,000",1,1/1/02,6/5/13,6/5/13
Healthbox,"2,000,000",1,4/1/11,12/5/13,12/5/13
Healthcare Bluebook,"7,000,000",1,1/1/08,1/14/14,1/14/14
Healthcare Corporation of America,"5,925,000",1,1/1/68,10/15/12,10/15/12
HealthCare Impact Associates,"2,000,000",1,1/1/12,4/23/13,4/23/13
HealthCare.com,"6,100,000",1,12/1/06,6/20/07,6/20/07
HealthcareMagic,"2,500,000",1,2/5/08,2/12/09,2/12/09
HealthcareSource,"11,200,000",1,1/1/92,11/8/10,11/8/10
HealthCentral,"50,000,000",1,1/1/06,1/1/08,1/1/08
HealthCrowd,"500,000",1,5/31/11,4/1/13,4/1/13
HealthDataInsights,"13,200,000",1,,8/1/05,8/1/05
HEALTHDRIVE HOLDINGS,"2,200,000",1,,9/8/10,9/8/10
HealthEdge Software,"23,474,966",4,1/1/04,7/29/10,10/9/13
HealthEngine,"10,400,000",1,7/1/07,8/16/13,8/16/13
Healtheo360,"300,000",1,1/1/12,7/24/12,7/24/12
HealthEquity,"12,500,000",1,1/1/02,9/9/11,9/9/11
HealthFleet.com,"723,723",1,1/1/09,5/6/13,5/6/13
HealthFusion,"2,242,196",2,1/1/98,1/4/10,7/17/12
HealthHiway,"4,000,000",1,,9/4/09,9/4/09
HealthID Profile,"250,000",1,1/1/12,12/1/12,12/1/12
Healthiest You,"100,000",1,1/1/10,8/1/11,8/1/11
HealthiNation,"12,000,000",2,4/1/05,1/1/07,9/30/08
Healthkart,,1,3/1/11,6/7/13,6/7/13
Healthline Networks,"56,000,002",4,1/1/02,1/1/06,4/26/10
HealthLinkNow,"7,700,000",1,1/1/10,11/13/13,11/13/13
HealthLok,,2,10/1/08,1/1/06,1/1/08
HealthLoop,"10,000,000",1,1/1/09,12/9/13,12/9/13
HealthMedia,"3,000,000",1,,3/31/03,3/31/03
HealthMicro,,2,1/1/08,9/1/07,6/1/10
Healthonomy,"322,500",1,,8/8/12,8/8/12
HealthPlan Data Solutions,"50,000",1,1/1/10,8/16/11,8/16/11
HealthPocket,"2,000,000",1,1/1/12,8/22/12,8/22/12
Healthpoint Services Global,"1,675,000",3,,9/13/10,2/2/11
Healthpointz,"50,000",1,12/14/13,6/18/13,6/18/13
HealthPrize Technologies,"4,232,000",3,9/1/09,5/12/11,1/24/13
Healthrageous,"15,000,000",3,1/1/10,7/8/11,6/9/13
HealthRally,"400,000",2,3/1/10,12/1/11,1/1/12
HealthScripts of America,"1,740,000",3,1/1/13,9/27/13,12/26/13
Healthsense,"18,630,000",5,1/1/01,8/25/10,12/23/13
HealthSmart Holdings,"15,999,996",1,1/1/83,1/13/12,1/13/12
HealthSouk,,1,4/1/11,2/9/12,2/9/12
HealthSpot,"15,180,305",4,1/1/10,7/20/11,4/10/13
HealthSpring,"3,700,000",1,,6/19/13,6/19/13
HealthSynch,"925,000",2,1/1/12,11/7/12,3/22/13
HealthTap,"38,250,000",5,1/1/10,1/1/10,5/8/13
HealthTeacher,"5,900,000",2,,4/15/10,6/28/11
HealthTell,"4,000,000",1,1/1/10,8/20/13,8/20/13
HealthUnity,"1,760,000",2,,7/9/10,10/22/10
HealthUnlocked,"2,000,000",1,1/1/09,6/18/13,6/18/13
Healthvest Holdings,"81,700",1,1/1/12,10/23/12,10/23/12
HealthWarehouse.com,"11,801,758",6,8/30/07,5/15/09,9/2/11
Healthways,"25,000,000",2,1/1/81,9/13/11,10/2/13
HealthWyse,,1,6/1/98,9/20/11,9/20/11
Healthy Crowdfunder,"884,500",1,7/1/12,12/31/11,12/31/11
Healthy Humans,"150,000",1,,7/1/08,7/1/08
Healthy Labs,,2,1/1/11,5/1/11,8/1/12
Healthy Stove,"75,000",1,11/11/11,2/1/12,2/1/12
HealthyMe Mobile Solutions,"50,000",1,11/5/12,9/1/13,9/1/13
HealthyTweet,"500,000",1,2/10/09,2/18/09,2/18/09
Heap,"2,000,000",1,1/1/13,8/27/13,8/27/13
Heapsylon,"560,000",2,11/1/10,7/1/13,12/31/13
Hearing Health Science,"375,000",2,,9/23/10,6/6/11
hearo.fm,"320,500",5,9/1/10,3/15/12,11/20/13
Hearsay Social,"51,000,000",3,1/1/09,2/3/11,9/5/13
Hearsay.it,"100,000",1,2/28/11,1/1/11,1/1/11
Heart Metabolics,"4,000,000",1,,1/4/13,1/4/13
Heartbeat,"20,000",1,1/1/11,5/1/11,5/1/11
HeartFlow,"107,016,021",4,1/1/07,4/19/10,2/2/12
Heartland Dental Care,"1,572,000",1,1/1/80,6/3/11,6/3/11
Heartscape,"16,980,999",1,1/1/00,4/24/07,4/24/07
HeartThis,,1,,8/21/13,8/21/13
Heat Biologics,"7,850,050",2,1/1/08,5/21/12,4/9/13
HeatGenie,"921,700",2,1/1/07,7/1/10,11/17/11
Heath Robinson Museum,"1,716,931",1,1/1/92,12/20/13,12/20/13
Heatma.ps,"400,000",1,,10/30/12,10/30/12
HeatSync,"500,000",1,4/2/13,1/1/13,1/1/13
Heatwave Interactive,"12,600,000",2,1/1/08,7/29/08,7/20/10
Heavy,"33,000,000",3,1/1/99,3/1/01,1/8/07
Heckyl,"4,750,000",3,12/9/10,1/1/12,12/10/13
Hector Beverages,"8,000,000",1,1/1/09,5/20/13,5/20/13
Hedgeable,"100,000",1,9/1/09,10/2/13,10/2/13
HedgeCo,"2,960,000",1,1/1/02,4/10/08,4/10/08
Hedgeye Risk Management,,1,1/1/08,1/23/13,1/23/13
Hedvig,"12,500,001",2,1/1/12,6/7/12,6/24/13
Heekya,,1,5/8/08,4/1/08,4/1/08
Heidi Coast Advertising,"38,100,000",4,,6/1/05,11/1/08
Heilongjiang Weikang Bio-Tech Group,"4,999,994",2,,2/18/10,12/20/10
Heirloom Computing,"3,000,000",1,10/1/10,8/23/13,8/23/13
Heliae,"123,400,000",3,1/1/08,5/2/12,9/3/13
Heliatek,"27,000,000",1,1/1/06,11/26/09,11/26/09
Helical IT Solutions,"2,500,000",1,1/1/12,5/10/13,5/10/13
Helicomm,"1,000,000",1,1/1/02,3/21/06,3/21/06
Helicon Therapeutics,"50,000,000",1,,9/29/09,9/29/09
Helidyne,"150,000",1,,3/7/12,3/7/12
Helios,"25,000",1,,1/1/13,1/1/13
Helios Innovative Technologies,"500,009",1,1/1/12,4/10/13,4/10/13
Heliospectra,"4,475,889",1,1/1/06,10/11/11,10/11/11
Heliotrope Technologies,"11,482",1,6/1/12,1/1/14,1/1/14
HelioVolt,"253,000,000",6,1/1/01,6/1/05,8/3/13
Helioz R&D,"1,000,000",1,6/26/10,11/11/10,11/11/10
Helishopter,"700,000",1,2/1/11,7/1/12,7/1/12
Helium,"27,000,000",2,,10/27/08,5/5/11
HELIX BIOMEDIX,"9,378,276",3,1/1/88,3/12/10,5/1/13
Helix Therapeutics,"3,100,000",2,1/1/06,1/11/10,11/23/10
HellHouse Media,"250,000",1,11/20/04,2/16/09,2/16/09
Hello Agent,"142,500",1,1/1/13,11/5/13,11/5/13
Hello Chair,"889,999",2,1/1/06,6/1/07,4/12/10
Hello Health,"21,500,000",2,,2/28/12,11/26/12
Hello Inc,"10,507,283",1,,1/28/14,1/28/14
Hello Local Media ( HLM ),"50,000",1,3/1/12,5/1/11,5/1/11
Hello Mobile Inc.,"500,000",1,1/1/12,2/25/13,2/25/13
Hello Music,"4,000,000",1,1/22/10,1/22/10,1/22/10
Hello! Messenger,,2,9/29/09,9/29/09,3/5/10
HelloBooks,"500,000",1,9/1/12,9/1/12,9/1/12
HelloFax,,1,,3/1/11,3/1/11
Hellofood,"48,000,000",3,1/1/12,4/7/13,2/4/14
HelloFresh,"17,500,000",2,1/1/12,12/12/12,9/30/13
HelloSign,,1,1/1/11,7/26/13,7/26/13
HelloWallet,"16,150,000",3,1/1/09,3/5/10,1/26/12
HELM Boots,"120,000",1,,8/9/12,8/9/12
Helmedix,"1,290,000",1,,2/18/13,2/18/13
Helmi Technologies,"2,500,000",1,1/1/04,8/29/06,8/29/06
Help Me Rent Magazine,"500,000",1,1/1/10,8/1/10,8/1/10
Help Remedies,"1,431,003",1,1/1/07,1/5/11,1/5/11
Help Scout,"3,450,430",3,1/1/11,3/1/11,9/6/12
Helpa,"2,000,000",1,1/1/13,1/1/13,1/1/13
Helpful Alliance,"1,000,000",1,1/1/12,2/1/13,2/1/13
Helpful Technologies,"30,432,109",6,1/1/08,12/31/08,4/30/13
HelpHive,"250,000",1,1/1/08,7/1/08,7/1/08
HelpingDoc,"155,237",1,11/1/11,1/1/11,1/1/11
HelpMeRent.com,"154,000",1,10/1/10,8/1/11,8/1/11
Helpmycash,"3,860,000",1,1/1/07,10/30/08,10/30/08
HelpSaÏde.com,,2,7/1/09,1/1/11,1/1/12
"Helpshift, Inc.","3,200,000",1,,10/30/12,10/30/12
Helpstream,"8,600,000",1,1/1/04,2/28/08,2/28/08
Helveta,"30,935,274",10,1/1/04,1/11/05,6/14/13
HemaQuest Pharmaceuticals,"31,499,999",3,,4/21/10,3/12/12
Hemarina,"4,790,000",2,3/1/07,2/16/09,7/2/10
HemaSource,"13,488,000",1,1/1/98,2/18/10,2/18/10
Hematris Wound Care,"3,000,000",1,,11/29/09,11/29/09
Hemenkiralik.com,"2,500,000",2,1/1/11,8/17/12,6/28/13
Hemera Biosciences,"1,299,956",1,1/1/10,4/1/13,4/1/13
HemoShear,"4,300,000",3,1/1/08,9/13/10,10/24/12
HemoSonics,"2,289,747",2,1/1/04,6/28/10,6/11/13
Hemosphere,"9,300,000",1,,4/7/10,4/7/10
HEMS Technology,"400,000",1,3/25/05,3/24/13,3/24/13
Henable,"37,833",1,,9/1/12,9/1/12
HengZhi,"400,000",1,1/1/08,1/1/10,1/1/10
Henley-Putnam University,"6,300,000",2,,10/8/10,3/15/12
Henry Ford Innovation Institute,"3,000,000",1,1/1/11,1/29/14,1/29/14
Hepa Wash,"7,360,000",2,1/1/05,5/29/07,12/1/09
HepatoChem,"430,000",2,,10/14/11,4/30/12
Heppe Medical Chitosan,,1,,10/28/10,10/28/10
Hepregen,"4,500,000",4,,9/2/08,6/27/12
Heptares Therapeutics,"21,000,000",1,1/1/07,6/27/13,6/27/13
Hera Therapeutics,"501,006",1,1/1/12,6/12/13,6/12/13
HerBabyShower,,1,1/1/02,10/1/12,10/1/12
Herborium Group,"25,000",1,1/1/00,11/14/11,11/14/11
Here On Biz,"100,000",1,1/15/12,1/15/12,1/15/12
HereOrThere,,1,,1/1/07,1/1/07
HERO Network,"1,800,000",3,10/10/10,10/27/10,1/7/14
Heroic,"120,000",1,7/1/11,10/1/11,10/1/11
Heroku,"13,020,000",3,7/1/07,1/1/08,5/10/10
Herrenschmiede,,1,12/1/08,7/13/10,7/13/10
Hers,"10,000,000",1,,4/1/11,4/1/11
Herzio,"475,000",1,1/1/11,1/5/10,1/5/10
HESIODO,"40,000",1,3/1/12,12/9/13,12/9/13
HESKA,"3,570,000",1,1/1/98,3/5/13,3/5/13
HeTexted,"500,000",1,10/1/12,4/12/13,4/12/13
hetras,"8,475,000",4,1/1/07,12/15/09,4/1/13
Heuresis Corporation,"300,000",1,,1/13/14,1/13/14
Heverest.ru,"5,700,000",2,4/2/11,11/15/11,2/7/12
HEVO Power,"75,000",3,11/1/11,1/1/12,10/4/13
Hexaformer,"4,500,000",1,1/1/04,5/11/09,5/11/09
Hexago,"5,280,000",1,1/1/97,4/24/06,4/24/06
Hexagram 49,"11,000,000",2,,9/16/11,11/25/13
HexAirbot,"25,000",1,,1/1/13,1/1/13
HexaTech,"16,258,778",6,1/1/01,11/30/05,1/28/14
HEXIO,"20,000",1,2/1/08,1/10/08,1/10/08
"Hey, Neighbor!","140,000",1,1/1/10,1/1/11,1/1/11
HeyBubble,"150,000",1,10/17/11,1/1/12,1/1/12
HeyCrowd,"220,000",1,1/1/10,12/15/11,12/15/11
Heyday,"5,500,000",2,2/1/12,12/5/13,1/3/14
Heyo,"500,000",1,1/1/11,5/3/12,5/3/12
Heysan,"875,000",2,1/24/07,1/25/07,7/27/07
HeySpace,"20,000,000",1,1/1/05,2/12/08,2/12/08
HeyStaks,"2,414,980",2,10/28/08,10/28/10,10/30/13
HeyWire,"13,329,064",1,9/27/10,10/26/10,10/26/10
Heyzap,"7,995,000",5,1/1/09,1/1/09,12/1/12
Hezmedia Interactive,"100,000",2,7/2/09,7/2/09,6/10/11
hField Technologies,"70,000",1,,11/20/09,11/20/09
HG Data Company,"4,259,998",4,10/1/10,10/1/10,3/13/13
Hi-Dis(Mosen),"5,500,000",1,1/1/02,1/20/06,1/20/06
Hi-G-Tek,"13,500,000",3,,9/11/06,10/15/10
Hi-Midia,,1,6/1/05,8/1/05,8/1/05
Hi-Stor Technologies,"3,480,000",2,1/1/97,1/1/05,10/31/07
Hi-Tech Solutions,"3,000,000",1,1/1/92,1/2/08,1/2/08
hi5,"52,000,000",4,12/1/03,7/1/07,7/13/10
HiBeam Internet & Voice,,1,,12/4/09,12/4/09
Hibernater,"50,000",1,1/1/08,1/1/07,1/1/07
Hibernia Atlantic,"13,400,000",1,1/1/04,1/6/10,1/6/10
HiChina,,2,,2/1/99,3/1/05
HiConversion,"2,800,000",2,1/1/06,11/23/10,8/9/12
HiConversion.ru,"286,912",1,,5/23/13,5/23/13
HID Global,"15,000",1,,1/22/89,1/22/89
Hidden City Games,"15,000,000",1,1/1/04,10/31/07,10/31/07
HidInImage,"189,406",1,1/1/12,9/20/13,9/20/13
HiGear,"1,300,000",1,1/1/11,10/7/11,10/7/11
Higgle,"300,000",1,1/1/11,12/1/11,12/1/11
High Cloud Security,"1,650,000",1,1/1/09,1/22/13,1/22/13
High Density Networks,"1,000,000",1,,5/11/09,5/11/09
High Fidelity,"3,950,000",2,4/1/13,4/1/13,4/4/13
High Gear Media,"12,000,000",2,1/1/08,11/1/07,6/30/09
High Integrity Solutions,"4,556,910",1,1/1/00,6/16/05,6/16/05
High Society Freeride Company,"150,000",1,1/1/03,4/22/10,4/22/10
High Street Partners,"14,300,000",2,1/1/02,8/10/11,3/25/13
High Throughput Genomics,"17,438,500",2,,8/6/10,2/23/11
High Tower Software,"1,000,000",1,1/1/99,10/31/06,10/31/06
High-Mobility,"19,299",1,4/5/13,8/5/13,8/5/13
High-Tech Bridge,"4,300,000",1,12/12/07,11/5/12,11/5/12
Higher One,,2,1/1/00,12/1/04,8/1/08
HigherNext,"1,065,000",3,6/1/10,9/1/10,7/19/12
Highfive,"13,400,000",2,2/10/12,7/11/12,10/24/13
HighFive Mobile,"340,461",1,1/1/13,10/30/13,10/30/13
HighGround,"2,160,000",2,1/1/12,12/1/12,10/3/13
Highland Therapeutics,"6,700,000",1,,8/16/13,8/16/13
Highlight,"4,000,000",2,10/1/11,2/1/12,12/12/13
HighlightCam,"3,000,000",2,7/27/09,6/1/09,11/29/11
Highlighter,"730,000",4,8/7/10,10/28/10,12/1/11
HighRoads,"17,862,500",4,1/1/99,12/5/05,2/26/13
HighScore House,"284,775",2,1/1/11,1/1/11,1/26/12
Highstreet IT Solutions,,1,1/1/11,5/14/13,5/14/13
Hightail,"82,700,000",6,3/1/04,10/25/05,11/19/13
Hightower,"2,120,000",1,3/1/13,12/20/13,12/20/13
HighTower Advisors,"100,000,000",1,1/1/08,1/13/10,1/13/10
HIGHVIEW HEALTHCARE PARTNERS,"237,921",1,1/1/06,5/14/13,5/14/13
Highwinds,"311,800,000",4,1/1/02,1/1/60,8/8/13
Hii Def Inc.,,2,1/1/08,8/31/10,4/19/11
hike,"7,000,000",1,12/12/12,4/25/13,4/25/13
HiLine Coffee Company,"500,000",1,,1/26/14,1/26/14
Hillcrest Labs,"9,542,562",2,1/1/01,4/12/11,2/27/12
Hillerich & Bradsby,"40,000,000",1,,8/19/13,8/19/13
Hilo,"116,000",1,1/1/10,12/29/10,12/29/10
HiLo Tickets,"40,000",1,1/19/11,1/19/11,1/19/11
Hilosoft,"240,000",1,,6/2/11,6/2/11
HiMom,,1,6/1/12,8/1/12,8/1/12
Hinge,"5,249,455",2,2/1/11,8/23/13,11/4/13
Hingi,"3,400,000",1,1/1/05,5/20/07,5/20/07
hint,"5,900,000",1,1/1/10,7/9/12,7/9/12
Hint Inc,"6,812,500",2,1/1/05,7/1/12,12/20/13
HintOrTwo,"32,000",1,10/1/12,10/1/12,10/1/12
Hintsoft,,2,,7/1/05,10/1/07
hiogi,"135,160",2,5/17/07,5/17/07,5/11/09
Hip Innovation Technology,"225,000",1,1/1/11,3/21/11,3/21/11
Hipbone,"750,000",1,,3/1/99,3/1/99
HipChat,"100,000",1,9/1/09,8/10/10,8/10/10
HipCricket,"9,550,000",1,1/1/04,10/15/13,10/15/13
HiperScan,"1,234,970",2,1/1/06,1/19/09,11/6/13
HipFlat,"335,000",1,8/1/12,12/23/13,12/23/13
HipGeo,"500,000",1,8/1/10,4/20/11,4/20/11
hipix,"1,000,000",1,1/1/04,1/1/07,1/1/07
HipLogic,"11,500,000",2,1/1/05,2/8/08,12/2/09
HipLogiq,"12,000,000",2,3/8/13,5/13/13,11/18/13
Hipmunk,"20,215,000",4,1/1/10,8/17/10,6/12/12
Hippocampus Learning Centres,"18,600,000",4,1/1/10,2/5/12,1/21/14
Hippocrates Gate,"125,000",1,1/1/08,9/23/13,9/23/13
Hipscan,"100,000",1,12/11/10,1/1/13,1/1/13
HipSnip,,1,3/1/10,8/1/12,8/1/12
Hipster,"1,000,000",1,1/1/11,5/16/11,5/16/11
Hiptype,,1,,8/1/12,8/1/12
Hipui,"487,095",1,1/1/10,1/1/09,1/1/09
Hipvan,,1,1/1/13,6/28/13,6/28/13
HipWay,"2,750,000",1,10/10/10,10/19/11,10/19/11
Hire-Intelligence,"750,000",1,1/1/11,1/1/11,1/1/11
HireAHelper,"150,000",1,5/1/06,5/1/07,5/1/07
HireArt,"1,400,000",1,1/1/12,1/1/12,1/1/12
Hired,"2,700,000",1,5/1/12,1/1/13,1/1/13
hiredMYway.com,,1,,6/28/11,6/28/11
HireIQ Solutions,"5,872,344",6,9/7/08,3/31/10,9/25/13
Hireology,"1,300,000",2,7/1/10,6/4/12,6/28/13
HireVue,"53,000,000",4,4/1/04,9/30/09,10/2/13
HiringBoss,"5,000,000",1,1/1/11,2/28/13,2/28/13
HiringSolved,"1,000,000",1,4/22/12,11/21/13,11/21/13
HiringThing,"1,000,000",1,3/1/12,3/1/12,3/1/12
HIRO Media,"5,000,000",1,1/1/04,4/3/12,4/3/12
Hispanic Media,"5,000,000",1,,4/14/06,4/14/06
Histogen,"10,000,000",1,,12/1/10,12/1/10
Histogenics,"106,723,988",4,,9/4/08,1/6/14
Historic Futures,"1,150,000",1,,6/1/07,6/1/07
HistoRx,"5,760,546",2,1/1/04,11/23/09,5/27/11
HistoryFile,"6,000",1,7/1/08,7/25/08,7/25/08
HistoSonics,"23,126,614",2,1/1/09,2/22/10,12/20/13
Histros,"300,000",1,10/1/11,1/1/12,1/1/12
HIT Application Solutions,"2,750,000",1,,3/30/12,3/30/12
HIT Community,"350,000",1,,7/12/11,7/12/11
Hit Systems,"125,000",1,9/1/08,9/1/08,9/1/08
HitFix,"6,800,000",3,1/1/09,4/1/09,7/2/13
HitFox Group,,1,5/1/11,6/1/11,6/1/11
Hithru,"50,000",1,9/7/12,10/1/12,10/1/12
Hitlab,"5,000,000",1,1/1/09,5/1/11,5/1/11
Hitlantis,"1,500,000",1,,6/27/11,6/27/11
Hitmeister,,1,11/1/07,4/1/07,4/1/07
HitMeUp,"161,671",1,2/1/11,1/1/13,1/1/13
Hitpost,"2,000,000",3,4/1/09,1/1/10,4/26/12
Hittahem,,1,1/1/11,11/22/13,11/22/13
HItviews,"2,285,000",3,11/14/07,11/29/07,8/1/08
Hitwise,"4,200,000",1,,7/1/00,7/1/00
Hive Media,"1,500,000",1,1/1/08,8/31/11,8/31/11
hive01,,1,1/1/07,3/30/10,3/30/10
Hive7,,1,6/1/06,1/1/06,1/1/06
