Company,City,Industry,Amount raised,Investors,Type of Financing,Quarter,What the co. does
"Atrenta, Inc.","San Jose, CA",Software,13648100,"Investcorp, Investor Growth Capital, Inc., TL Ventures (FKA: Radnor Venture Partners), Venrock Associates",5,Q3/06,"Provides collaborative software tools for the design of electronic products"
"Arcwave, Inc. (FKA: CoWave Networks, Inc.)","Los Gatos, CA",Telecommunications,2000000,"Band of Angels, Undisclosed Venture Firm",6,Q3/06,"Develops products and services to facilitate wireless communications."
"Aperto Networks, Inc.","Milpitas, CA",Telecommunications,832000,Labrador Ventures,8,Q3/06,"Develops and provides broadband wireless access systems."
"Aeroprise, Inc. (FKA: Kwaish)","Mountain View, CA",Software,1500000,vSpring Capital,1,Q3/06,"Develops Mobile Service Management software."
"Aerohive Networks, Inc.","Santa Clara, CA",Telecommunications,4000000,"Northern Light Venture Capital, Undisclosed Venture Firm",1,Q3/06,"'Designs, develops, and manufactures wireless solutions.'"
"Aeluros, Inc.","Mountain View, CA",Semiconductors,7969000,"Hermes Private Equity Management Limited, Mitsui & Co. Venture Partners (MCVP), New Enterprise Associates, Worldview Technology Partners",3,Q3/06,"Develops front-end physical layer integrated circuits."
"Adaptive Planning, Inc.","Mountain View, CA",Software,2175000,ONSET Ventures,3,Q3/06,"Develops an alternative to spreadsheet-based financial reporting methods."
"AdRoll, Inc.","San Francisco, CA",Telecommunications,605000,"True Ventures, Undisclosed Investor",1,Q3/06,"Provides video streaming ad network with behavioral targeting capabilities."
Active Optical MEMS,"Fremont, CA",Networking and Equipment,1300000,"Noventi (FKA: Cypress Ventures) (FKA: CIR Ventures), Undisclosed Venture Firm",1,Q3/06,"Manufactures optical switches and supporting technology."
"ARIO Data Networks, Inc.","San Jose, CA",Computers and Peripherals,8000000,"Anthem Venture Partners, Clearstone Venture Partners (FKA: idealab! Capital Partners), Evercore Partners, Mellon Ventures, Inc., Partech International, Sunsino Ventures Group (FKA: Sunsino Development Associate), Triton Management Corporation, Undisclosed",4,Q3/06,"Provides OEMs essential building blocks for storage subsystems solutions."
"AMIMON, Inc.","Santa Clara, CA",Semiconductors,14000000,"Argonaut Partners, LLC, Cedar Fund, Evergreen Venture Partners, Stata Venture Partners, Walden Israel",2,Q3/06,"Operates a fabless semiconductor company servicing high-definition (HD)TV's"
Mywavez Corporation,"Sunnyvale, CA",Telecommunications,1000000,Menlo Ventures,2,Q3/06,"Develops solutions for mobile video sharing."
"MuleSource, Inc.","San Francisco, CA",Software,4050000,"Hummer Winblad Venture Partners, Morgenthaler Ventures, Undisclosed Venture Firm",1,Q3/06,"Develops an open-source enterprise service bus and integration platform."
"Movaris, Inc. (FKA: paper2net.com)","San Jose, CA",Software,6000000,"Granite Ventures LLC (FKA: H&Q Venture Associates), Mohr Davidow Ventures, Redpoint Ventures",5,Q3/06,"Provides financial control management (FCM) software."
"MonoSphere, Inc.","Redwood City, CA",Software,0,"ComVentures (AKA: Communications Ventures), Intel Capital, Lightspeed Venture Partners (FKA: Weiss, Peck & Greer), Pinnacle Ventures",6,Q3/06,"Develops enterprise storage management systems."
Mocana Corporation,"San Francisco, CA",Software,3575000,"Shasta Ventures Management, LLC",1,Q3/06,"Develops infrastructure software solutions for wired and wireless devices."
"MobiTV, Inc. (FKA: Idetic, Inc.)","Emeryville, CA",Software,70000000,"Gefinor Ventures (FKA: Inman Ventures), Menlo Ventures, Oak Investment Partners, Redpoint Ventures, Sorrento Ventures",4,Q3/06,"Develops bandwidth acceleration and wireless network management software."
"Miradia, Inc. (FKA: XHP Microsystems, Inc.)","Sunnyvale, CA",Semiconductors,15067000,"Global Catalyst Partners, Individuals, JAFCO Ventures, Sequoia Capital, VentureTech Alliance LLC, Worldview Technology Partners",4,Q3/06,"Manufactures semiconductors and components."
"MetricStream, Inc.","Redwood City, CA",Software,0,Kleiner Perkins Caufield & Byers,4,Q3/06,"Provides quality and compliance management software"
"Matisse Networks, Inc.","Mountain View, CA",Networking and Equipment,14000000,"Menlo Ventures, Monitor Venture Management, L.L.C., Walden International , WaldenVC, Woodside Fund",3,Q3/06,"Develops ultra-high bandwidth technology."
"MarketLive, Inc. (FKA: Multimedia Live)","Petaluma, CA",Software,10025100,"Globespan Capital Partners (FKA: JAFCO America Ventures), Sequoia Capital, Sigma Partners",3,Q3/06,"Develops and deploys e-commerce technology and website development."
"M2Z Networks, Inc.","Menlo Park, CA",Telecommunications,0,Redpoint Ventures,2,Q3/06,"Provides broadband wireless network services."
"Loopt, Inc (FKA: Flipt, Inc.)","Palo Alto, CA",Telecommunications,3000000,"New Enterprise Associates, Undisclosed Venture Firm",2,Q3/06,"Provides mobile services."
"Lontra, Inc. (FKA: Centrata, Inc.)","San Francisco, CA",Software,4000000,"Greylock Partners, North Bridge Venture Partners",5,Q3/06,"Provides IT service catalog and service delivery management solutions."
"Liquid Engines, Inc.","Sunnyvale, CA",Software,5515100,"Advanced Technology Ventures (AKA: ATV), Carlyle Group, The, Catamount Ventures, L.P., Charles River Ventures, Oak Hill Venture Partners (OHVP)",5,Q3/06,"Provides income tax management and quantitative planning software."
"LimeLife, Inc.","Menlo Park, CA",Telecommunications,1000000,"Monitor Venture Management, L.L.C., Rustic Canyon Partners(FKA: TMCT Ventures, L.P.), U.S. Venture Partners, i-Hatch Ventures, LLC",3,Q3/06,"Develops and publishes mobile phone games and lifestyle applications."
"Laszlo Systems, Inc.","San Mateo, CA",Software,8000000,"General Catalyst Partners (FKA: General Catalyst Group LLC), Mitsui & Co. Venture Partners (MCVP), Sofinnova Ventures, WI Harper Group",6,Q3/06,"Develops a software platform to enable next generation Web applications."
"Perceptive Software, Inc. (FKA: Perceptive Vision)","Shawnee, KS",Software,4100000,Morgan Stanley Venture Partners (AKA: MSDW),2,Q3/06,"'Develops document imaging, management and workflow solutions.'"
"AfterBot, Inc.","Norcross, GA",Software,400000,"Chrysalis Ventures, River Cities Capital Funds",7,Q3/06,"Develops technology platforms to reduce marketing costs for retailers."
"Air2Web, Inc.","Atlanta, GA",Software,24999900,"CDP Capital - Technology Ventures (FKA: CDP Sofinov), Carlyle Group, The, Individuals, UPS Strategic Enterprise Fund",3,Q3/06,"Provides software infrastructure services"
"CareAnyware, Inc. (DBA: ehomecare.com)","Cary, NC",Software,400000,Lovett Miller & Co. Incorporated,2,Q3/06,"Provides home care technology solutions."
"Databanq, Inc.","Orlando, FL",Software,0,"Individuals, Inflexion Partners, Undisclosed Corporate Investor, Village Ventures",1,Q3/06,"Provides consumer & commercial data and customer acquisition solutions."
"Digium, Inc. (FKA: Linux Support Services)","Huntsville, AL",Telecommunications,13800000,Matrix Partners,1,Q3/06,"Operates as an open-source telephony company."
Interactive Advisory Software LLC,"Marietta, GA",Software,2000000,Total Technology Ventures LLC (AKA: TTV),1,Q3/06,"Provides web-based wealth management solution for financial planners."
"iVivity, Inc.","Norcross, GA",Semiconductors,9970900,"Commonwealth Capital Ventures , Cordova Ventures (FKA:Cordova Capital), Grotech Capital Group, HIG Capital Management (AKA H.I.G. Ventures), Individuals, JK&B Capital, Kinetic Ventures LLC, Undisclosed Corporate Investor",7,Q3/06,"Develops high performance storage solutions for storage networking market."
"Jacket Micro Devices, Inc.","Atlanta, GA",Semiconductors,12000000,"Imlay Investments, Intersouth Partners, Noro-Moseley Partners, Sevin Rosen Funds (AKA: Sevin Rosen Management Co.)",3,Q3/06,"Develops RF Passive Components used in wireless communication products."
"Motricity, Inc. (FKA: PowerByHand, Inc.)","Durham, NC",Telecommunications,31999900,"Advanced Equities Capital Partners LLC, Atlantis Group LLC, Intel Capital, New Enterprise Associates, Qualcomm Ventures, Sienna Ventures (FKA: Sienna Holdings Inc.), Technology Crossover Ventures (AKA: TCV), TriState Investment Group, Wakefield Group",6,Q3/06,"Provides mobile content through consumer websites and channel partnerships."
"Nexidia, Inc. (FKA: Fast-Talk Communications, Inc.)","Atlanta, GA",Software,3000200,"Cordova Ventures (FKA:Cordova Capital), HIG Capital Management (AKA H.I.G. Ventures), Morgan Stanley Private Equity , Paladin Capital Management, LLC, SAIC Venture Capital Corporation, Undisclosed Corporate Investor",5,Q3/06,"Provides scalable audio mining and speech analytic software."
Pentaho Corporation,"Orlando, FL",Software,8000000,"Index Ventures Management SA, New Enterprise Associates",2,Q3/06,"Develops Open Source Business Intelligence (BI) software."
"Proxsys, LLC","Birmingham, AL",Software,0,Advantage Capital Partners,1,Q3/06,"'Provides patient information, transmitting patient data to appropriate area'"
"Reveal Technologies, Inc.","Birmingham, AL",Software,225000,"Band of Angels, Labrador Ventures",1,Q3/06,"Provides peer to peer distributed computing capabilities."
"RTO Software, Inc. (FKA:KevSoft Corporation)","Alpharetta, GA",Software,1000000,Southern Capitol Ventures,3,Q3/06,"Develops performance management software."
"SecureWorks, Inc.","Atlanta, GA",IT Services,7100000,"Noro-Moseley Partners, Undisclosed Venture Firm",4,Q3/06,"Provides network security services."
"SemiSouth Laboratories, Inc.","Starkville, MS",Semiconductors,4999800,"Delta Capital Management LLC, Schneider Electric Ventures, Southern Appalachian Management Company LLC , Southern Farm Bureau, Undisclosed Investor",2,Q3/06,"Develops silicon carbide electronics and electronic material (epitaxy)."
"Servigistics, Inc.","Atlanta, GA",Software,381000,SSM Partners,5,Q3/06,"Provides internet-based inventory planning and logistics software."
"Skyway Software, Inc. (FKA: Turtle Software, Inc.)","Tampa, FL",Software,4000000,"Armada Venture Group LLC , Imlay Investments, Undisclosed Investor",4,Q3/06,"Enables Internet applications for users to create and manage web processes."
"SteelBox Networks, Inc.","Atlanta, GA",Telecommunications,10200000,"Individuals, Sierra Ventures",1,Q3/06,"Develops software and manufactures VOIP switching equipment."
"Tower Cloud, Inc.","Saint Petersburg, FL",Telecommunications,9999900,"El Dorado Ventures, Individuals, Sutter Hill Ventures",1,Q3/06,"Provide broadband connectivity on a fiber optic date network."
"WiDeFi, Inc.","Melbourne, FL",Semiconductors,500000,"Aurora Funds, Inc., Axiom Venture Partners, L.P., Band of Angels, CampVentures, FreshTracks Capital, Grace Venture Partners, Inflexion Partners, Village Ventures",5,Q3/06,"Operates as a semiconductor company delivering Wi-Fi wireless solutions."
"3point5, Inc.","Salt Lake City, UT",Business Products and Services,1500000,"Undisclosed Investor, Undisclosed Venture Firm, vSpring Capital",2,Q3/06,"Operates as an online sales training program for retail sales people."
"Alianza Global Communication Services (AKA: Alianza, Inc.)","Lindon, UT",Telecommunications,3924900,"Individuals, Undisclosed Investor, University Venture Fund, The, vSpring Capital",2,Q3/06,"Provides voice over Internet protocol (VoIP) services to businesses."
"CopperKey, Inc.","Gilbert, AZ",Business Products and Services,2200100,"Undisclosed Investor, Wasatch Venture Fund, Zone Ventures",12,Q3/06,"Acts as an ASP for wireless telecommunications companies."
Limelight Networks,"Tempe, AZ",Telecommunications,130000000,"Goldman, Sachs & Co., Undisclosed Venture Firm",1,Q3/06,"Develops delivery solutions for on-demand and live Internet content."
"Linux NetworX, Inc. (FKA: Alta Technology Corporation)","Riverton, UT",Software,27000000,"Lehman Brothers, Oak Investment Partners, Tudor Ventures , Undisclosed Venture Firm, Wasatch Venture Fund",5,Q3/06,"Develops Linux cluster computer applications."
"S5 Wireless, Inc.","Draper, UT",Telecommunications,4510000,"Individuals, Undisclosed Investor, Wasatch Venture Fund, vSpring Capital",3,Q3/06,"Provides wireless solutions for telemetry and tracking applications."
"Solera Networks, Inc.","Lindon, UT",Networking and Equipment,3900000,Canopy Group,1,Q3/06,"Develops Network Forensic Storage Products for the Networking Market."
"Venafi, Inc. (FKA: IMCentric, Inc.)","Draper, UT",IT Services,5998000,"Foundation Capital, Highway 12 Ventures, Origin Partners",2,Q3/06,"Provides and develops security automation products and services."
"Airimba Wireless Inc. (FKA: ClearSKY Networks, Inc.)","Richardson, TX",Telecommunications,4495000,"Harbert Venture Partners, Undisclosed Investor",6,Q3/06,"Provides symmetrical wireless high-speed Internet access."
"AirWalk Communications, Inc.","Richardson, TX",Telecommunications,11300000,"TL Ventures (FKA: Radnor Venture Partners), Undisclosed Venture Firm",7,Q3/06,"Develops wireless CDMA radio access networks."
"Argyle Solutions, Inc.","Flower Mound, TX",Software,7400000,"Blue Chip Venture Company, Undisclosed Venture Firm",4,Q3/06,"Develops software tools for hospitals to enable them to collect bad debts."
Augmentix Corporation,"Austin, TX",Computers and Peripherals,643000,Centennial Ventures,3,Q3/06,"Develops commercial servers for applied computing applications."
"BIAP Systems, Inc.","Plano, TX",Software,20000100,"SCP Private Equity Partners , Sevin Rosen Funds (AKA: Sevin Rosen Management Co.), Undisclosed Investor",5,Q3/06,"Develops smartware applications."
CSIdentity Corporation,"Austin, TX",Software,1125200,"Individuals, Undisclosed Investor, Undisclosed Venture Firm",1,Q3/06,"Provides security solutions for identity fraud."
"Cubic Wafer, Inc. (FKA: Xan3D Technologies, Inc.)","Austin, TX",Semiconductors,5200000,"EuclidSR Partners , Undisclosed Venture Firm",5,Q3/06,"Develops semiconductors."
"Handango, Inc. (FKA: GoPDA.com)","Hurst, TX",Telecommunications,60500000,"Advanced Technology Ventures (AKA: ATV), CenterPoint Venture Partners, Institutional Venture Partners, NeoCarta Ventures, Inc., Pharos Capital Group LLC, SSM Partners",4,Q3/06,"Develops and provides mobile download services and mobile software."
"HyPerformix, Inc. (FKA: Scientific And Engineering Software)","Austin, TX",Software,5000000,"Lambda Funds, The, M/C Venture Partners (AKA: Media/Communications Partners), Morgan Stanley Venture Partners (AKA: MSDW), SVB Capital (FKA: Silicon Valley BancVentures)",5,Q3/06,"Provides performance solutions to Global 2000 companies"
"Infinity Channel Networks, Inc.","Dallas, TX",IT Services,3556000,"ATA Ventures, El Dorado Ventures, Hunt Ventures, L.P., Vesbridge Partners, LLC",1,Q3/06,"Provides video processing solutions for Internet video content."
"Instajob, Inc.","Austin, TX",Software,1000000,"Rho Ventures (AKA: RHO Management), Sevin Rosen Funds (AKA: Sevin Rosen Management Co.)",2,Q3/06,"Develops a job recruitment software."
iTaggit,"Austin, TX",IT Services,1040000,"G-51 Capital LLC, Individuals",1,Q3/06,"Provides Web-based designed to help individuals manage their personal asset"
"LifeSize Communications, Inc. (FKA: KMV Technologies)","Austin, TX",Telecommunications,24999800,"Austin Ventures, L.P., Lehman Brothers, Norwest Venture Partners , Pinnacle Ventures, Redpoint Ventures, Sutter Hill Ventures",4,Q3/06,"Develops high definition video communications products."
"Nanocoolers, Inc.","Austin, TX",Semiconductors,1750000,"Austin Ventures, L.P., Draper Fisher Jurvetson (FKA: Draper Associates), Undisclosed Venture Firm",6,Q3/06,"Develops advanced cooling technologies."
"NewMarket IT, Inc.","Austin, TX",IT Services,50000000,Catterton Partners,1,Q3/06,"'Provides removal, recycling and remarketing of aging PC assets.'"
Renew Data Corporation,"Austin, TX",Software,30546000,"ABS Capital Partners, CIBC Capital Partners, Individuals",2,Q3/06,"Provides electronic evidence and data recovery."
"RigNet, Inc.","Houston, TX",Telecommunications,23266000,"Altira Group LLC, Undisclosed Venture Firm",5,Q3/06,"Provides Information and Communication Technology (ICT) solutions."
"SensorTran, Inc.","Austin, TX",Networking and Equipment,3500100,"Expansion Capital Partners LLC, Stonehenge Capital Company, WHEB Ventures, Ltd.",1,Q3/06,"Develops fiber-optic based sensors."
"Supercircuits, Inc.","Liberty Hill, TX",Retailing/Distribution,16462000,"Carlyle Group, The",1,Q3/06,"Designs and supplies video surveillance security solutions."
"Surgient, Inc.","Austin, TX",Telecommunications,0,Seaport Capital,7,Q3/06,"Develops scalable content delivery technology for the Internet."
"Troux Technologies, Inc.","Austin, TX",Software,4820000,"Austin Ventures, L.P., Eqvitec Partners Oy, Four Seasons Venture Capital AS, Greylock Partners",7,Q3/06,"Develops IT governance software."
"UnWired Buyer, Inc. (FKA: gNumber) (FKA: PortalPlay, Inc.)","Austin, TX",IT Services,6100000,"DFJ Mercury Venture Partners, Gefinor Ventures (FKA: Inman Ventures), Undisclosed Venture Firm",2,Q3/06,"Develops e-commerce services to mobile phones using IPoV technology."
"VeriCenter, Inc.","Houston, TX",Networking and Equipment,7000000,Pharos Capital Group LLC,3,Q3/06,"Provides IT infrastructure and managed services."
"Zebra Imaging, Inc.","Austin, TX",Computers and Peripherals,5929000,"Individuals, SAIC Venture Capital Corporation, Sierra Ventures, Undisclosed Corporate Investor, Undisclosed Investor, Voyager Capital",6,Q3/06,"Develops digital hologram technology."
"Rocket Broadband Network, Inc.","Buffalo, NY",Telecommunications,1200000,"High Peaks Venture Partners, LLC, Onondaga Venture Capital Fund, Inc., Rand Capital Corporation, Trillium Group, LLC",2,Q3/06,"Provides Internet access services and online telephone services."
